Cargo;Codigo;Posicao
523 - TECNICO JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;0;A I
523 - TECNICO JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;0;A I
523 - TECNICO JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;0;A I
523 - TECNICO JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;0;A I
523 - TECNICO JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;0;A I
523 - TECNICO JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;0;A I
523 - TECNICO JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;0;A I
523 - TECNICO JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;0;A I
3 - AGENTE ADM AUXILIAR - Servidores Efetivos do Poder Judiciário - LEGADO;0;A I
14 - AGENTE DE PORTARIA - Servidores Efetivos do Poder Judiciário - LEGADO;0;A I
212 - TESOUREIRO - Servidores Efetivos do Poder Judiciário - LEGADO;0;A I
834 - DISTRIBUIDOR TERCEIR ENTRANCIA - Servidores Efetivos do Poder Judiciário - LEGADO;0;A I
151 - OFICIAL DE JUSTICA - Servidores Efetivos do Poder Judiciário - LEGADO;0;A I
874 - ANALISTA JUDICIARIO TRES - Servidores Efetivos do Poder Judiciário - LEGADO;0;A I
14 - AGENTE DE PORTARIA - Servidores Efetivos do Poder Judiciário - LEGADO;0;A I
834 - DISTRIBUIDOR TERCEIR ENTRANCIA - Servidores Efetivos do Poder Judiciário - LEGADO;0;A I
66 - AUXILIAR DE SERVICO - Servidores Efetivos do Poder Judiciário - LEGADO;0;A I
523 - TECNICO JUDICIARIO - Servidores Efetivos do Poder Judiciário - LEGADO;0;A I
3 - AGENTE ADM AUXILIAR - Servidores Efetivos do Poder Judiciário - LEGADO;0;A I
145 - MOTORISTA - Outros - Legado;0;Único
145 - MOTORISTA - Outros - Legado;0;Único
219 - VIGILANTE - Outros - Legado;0;Único
219 - VIGILANTE - Outros - Legado;0;Único
292 - SECRETARIA - Outros - Legado;0;Único
292 - SECRETARIA - Outros - Legado;0;Único
300 - SUBSECRETARIO - Outros - Legado;0;Único
300 - SUBSECRETARIO - Outros - Legado;0;Único
428 - ESCREVENTE DISTRITAL - Outros - Legado;0;Único
428 - ESCREVENTE DISTRITAL - Outros - Legado;0;Único
427 - OFICIAL REG CART DISTRITAL - Outros - Legado;0;Único
427 - OFICIAL REG CART DISTRITAL - Outros - Legado;0;Único
523 - TECNICO JUDICIARIO - Outros - Legado;0;Único
523 - TECNICO JUDICIARIO - Outros - Legado;0;Único
524 - AUXILIAR JUDICIARIO - Outros - Legado;0;Único
524 - AUXILIAR JUDICIARIO - Outros - Legado;0;Único
622 - OFICIAL JUSTICA PRIM ENTRANCIA - Outros - Legado;0;Único
622 - OFICIAL JUSTICA PRIM ENTRANCIA - Outros - Legado;0;Único
648 - ESCREVENTE TERCEIRA ENTRANCIA - Outros - Legado;0;Único
648 - ESCREVENTE TERCEIRA ENTRANCIA - Outros - Legado;0;Único
741 - TECNICO JUDICIARIO ADJUNTO - Outros - Legado;0;Único
741 - TECNICO JUDICIARIO ADJUNTO - Outros - Legado;0;Único
663 - OF REG CART DIST SEG ENTRANCIA - Outros - Legado;0;Único
663 - OF REG CART DIST SEG ENTRANCIA - Outros - Legado;0;Único
812 - ADMINIST JUDICIARIO AUXILIA - Outros - Legado;0;Único
812 - ADMINIST JUDICIARIO AUXILIA - Outros - Legado;0;Único
857 - ANALISTA JUDICIARIO DOIS - Outros - Legado;0;Único
857 - ANALISTA JUDICIARIO DOIS - Outros - Legado;0;Único
816 - AGENTE SERVICO JUDIACIARIOS - Outros - Legado;0;Único
816 - AGENTE SERVICO JUDIACIARIOS - Outros - Legado;0;Único
880 - OFIC JUST AVALIAD SEGUND ENTRA - Outros - Legado;0;Único
880 - OFIC JUST AVALIAD SEGUND ENTRA - Outros - Legado;0;Único
881 - OFIC JUST AVALIAD TERC ENTRANC - Outros - Legado;0;Único
881 - OFIC JUST AVALIAD TERC ENTRANC - Outros - Legado;0;Único
891 - TEC JUDIC SEGUNDA ENTRANCIA - Outros - Legado;0;Único
891 - TEC JUDIC SEGUNDA ENTRANCIA - Outros - Legado;0;Único
999 - . - Outros - Legado;0;Único
999 - . - Outros - Legado;0;Único
145 - MOTORISTA - Outros - Legado;0;Único
145 - MOTORISTA - Outros - Legado;0;Único
219 - VIGILANTE - Outros - Legado;0;Único
219 - VIGILANTE - Outros - Legado;0;Único
292 - SECRETARIA - Outros - Legado;0;Único
292 - SECRETARIA - Outros - Legado;0;Único
300 - SUBSECRETARIO - Outros - Legado;0;Único
300 - SUBSECRETARIO - Outros - Legado;0;Único
428 - ESCREVENTE DISTRITAL - Outros - Legado;0;Único
428 - ESCREVENTE DISTRITAL - Outros - Legado;0;Único
427 - OFICIAL REG CART DISTRITAL - Outros - Legado;0;Único
427 - OFICIAL REG CART DISTRITAL - Outros - Legado;0;Único
523 - TECNICO JUDICIARIO - Outros - Legado;0;Único
523 - TECNICO JUDICIARIO - Outros - Legado;0;Único
524 - AUXILIAR JUDICIARIO - Outros - Legado;0;Único
524 - AUXILIAR JUDICIARIO - Outros - Legado;0;Único
622 - OFICIAL JUSTICA PRIM ENTRANCIA - Outros - Legado;0;Único
622 - OFICIAL JUSTICA PRIM ENTRANCIA - Outros - Legado;0;Único
648 - ESCREVENTE TERCEIRA ENTRANCIA - Outros - Legado;0;Único
648 - ESCREVENTE TERCEIRA ENTRANCIA - Outros - Legado;0;Único
741 - TECNICO JUDICIARIO ADJUNTO - Outros - Legado;0;Único
741 - TECNICO JUDICIARIO ADJUNTO - Outros - Legado;0;Único
663 - OF REG CART DIST SEG ENTRANCIA - Outros - Legado;0;Único
663 - OF REG CART DIST SEG ENTRANCIA - Outros - Legado;0;Único
791 - ASSESSOR JUDICIARIO ADJUNTO - Outros - Legado;0;Único
791 - ASSESSOR JUDICIARIO ADJUNTO - Outros - Legado;0;Único
812 - ADMINIST JUDICIARIO AUXILIA - Outros - Legado;0;Único
812 - ADMINIST JUDICIARIO AUXILIA - Outros - Legado;0;Único
857 - ANALISTA JUDICIARIO DOIS - Outros - Legado;0;Único
857 - ANALISTA JUDICIARIO DOIS - Outros - Legado;0;Único
816 - AGENTE SERVICO JUDIACIARIOS - Outros - Legado;0;Único
816 - AGENTE SERVICO JUDIACIARIOS - Outros - Legado;0;Único
880 - OFIC JUST AVALIAD SEGUND ENTRA - Outros - Legado;0;Único
880 - OFIC JUST AVALIAD SEGUND ENTRA - Outros - Legado;0;Único
881 - OFIC JUST AVALIAD TERC ENTRANC - Outros - Legado;0;Único
881 - OFIC JUST AVALIAD TERC ENTRANC - Outros - Legado;0;Único
891 - TEC JUDIC SEGUNDA ENTRANCIA - Outros - Legado;0;Único
891 - TEC JUDIC SEGUNDA ENTRANCIA - Outros - Legado;0;Único
999 - . - Outros - Legado;0;Único
999 - . - Outros - Legado;0;Único
219 - VIGILANTE - Outros - Legado;0;Único
219 - VIGILANTE - Outros - Legado;0;Único
292 - SECRETARIA - Outros - Legado;0;Único
292 - SECRETARIA - Outros - Legado;0;Único
300 - SUBSECRETARIO - Outros - Legado;0;Único
300 - SUBSECRETARIO - Outros - Legado;0;Único
428 - ESCREVENTE DISTRITAL - Outros - Legado;0;Único
428 - ESCREVENTE DISTRITAL - Outros - Legado;0;Único
523 - TECNICO JUDICIARIO - Outros - Legado;0;Único
523 - TECNICO JUDICIARIO - Outros - Legado;0;Único
524 - AUXILIAR JUDICIARIO - Outros - Legado;0;Único
524 - AUXILIAR JUDICIARIO - Outros - Legado;0;Único
622 - OFICIAL JUSTICA PRIM ENTRANCIA - Outros - Legado;0;Único
622 - OFICIAL JUSTICA PRIM ENTRANCIA - Outros - Legado;0;Único
648 - ESCREVENTE TERCEIRA ENTRANCIA - Outros - Legado;0;Único
648 - ESCREVENTE TERCEIRA ENTRANCIA - Outros - Legado;0;Único
741 - TECNICO JUDICIARIO ADJUNTO - Outros - Legado;0;Único
741 - TECNICO JUDICIARIO ADJUNTO - Outros - Legado;0;Único
663 - OF REG CART DIST SEG ENTRANCIA - Outros - Legado;0;Único
663 - OF REG CART DIST SEG ENTRANCIA - Outros - Legado;0;Único
791 - ASSESSOR JUDICIARIO ADJUNTO - Outros - Legado;0;Único
791 - ASSESSOR JUDICIARIO ADJUNTO - Outros - Legado;0;Único
857 - ANALISTA JUDICIARIO DOIS - Outros - Legado;0;Único
857 - ANALISTA JUDICIARIO DOIS - Outros - Legado;0;Único
816 - AGENTE SERVICO JUDIACIARIOS - Outros - Legado;0;Único
816 - AGENTE SERVICO JUDIACIARIOS - Outros - Legado;0;Único
880 - OFIC JUST AVALIAD SEGUND ENTRA - Outros - Legado;0;Único
880 - OFIC JUST AVALIAD SEGUND ENTRA - Outros - Legado;0;Único
881 - OFIC JUST AVALIAD TERC ENTRANC - Outros - Legado;0;Único
881 - OFIC JUST AVALIAD TERC ENTRANC - Outros - Legado;0;Único
891 - TEC JUDIC SEGUNDA ENTRANCIA - Outros - Legado;0;Único
891 - TEC JUDIC SEGUNDA ENTRANCIA - Outros - Legado;0;Único
999 - . - Outros - Legado;0;Único
999 - . - Outros - Legado;0;Único
219 - VIGILANTE - Outros - Legado;0;Único
219 - VIGILANTE - Outros - Legado;0;Único
292 - SECRETARIA - Outros - Legado;0;Único
292 - SECRETARIA - Outros - Legado;0;Único
300 - SUBSECRETARIO - Outros - Legado;0;Único
300 - SUBSECRETARIO - Outros - Legado;0;Único
428 - ESCREVENTE DISTRITAL - Outros - Legado;0;Único
428 - ESCREVENTE DISTRITAL - Outros - Legado;0;Único
523 - TECNICO JUDICIARIO - Outros - Legado;0;Único
523 - TECNICO JUDICIARIO - Outros - Legado;0;Único
524 - AUXILIAR JUDICIARIO - Outros - Legado;0;Único
524 - AUXILIAR JUDICIARIO - Outros - Legado;0;Único
622 - OFICIAL JUSTICA PRIM ENTRANCIA - Outros - Legado;0;Único
622 - OFICIAL JUSTICA PRIM ENTRANCIA - Outros - Legado;0;Único
648 - ESCREVENTE TERCEIRA ENTRANCIA - Outros - Legado;0;Único
648 - ESCREVENTE TERCEIRA ENTRANCIA - Outros - Legado;0;Único
741 - TECNICO JUDICIARIO ADJUNTO - Outros - Legado;0;Único
